car,MPO,Cylinder,Displacement,Horsepower,weight,Accelarate,Model,origin
BMW,21.4,6.0,1889,245,4173,12.4,79,India
Hyundai,16.6,4.0,3210,153,2739,17.2,79,South Korea
BMW,14.7,4.0,4790,125,2339,8.2,72,Germany
Jaguar,14.8,4.0,4341,246,4335,15.4,79,India
Honda,20.9,4.0,3886,210,2621,11.5,70,Germany
Maruthi,21.2,6.0,2622,258,3261,14.2,77,South Korea
Hyundai,13.0,8.0,3201,299,2888,9.9,74,Japan
Maruthi,23.0,6.0,1871,118,2155,8.8,73,South Korea
Audi,20.7,6.0,4474,115,2034,8.8,77,US
Maruthi,18.4,4.0,2371,182,4074,7.8,76,Germany
Maruthi,17.1,6.0,2695,259,3348,9.0,71,Japan
Hyundai,18.1,4.0,4926,205,3896,14.3,70,Germany
Ford,12.4,6.0,2143,112,1917,16.7,80,Germany
Toyota,13.1,6.0,3446,217,3901,16.0,73,India
BMW,11.4,4.0,2649,193,3473,14.5,77,US
BMW,12.3,4.0,4937,166,4412,8.2,71,Germany
Jaguar,16.8,8.0,3739,159,2867,10.2,72,South Korea
Hyundai,18.0,4.0,2095,108,3900,10.4,70,South Korea
Jaguar,10.3,4.0,3389,154,2357,9.7,70,India
Honda,22.0,4.0,2536,246,3615,12.7,72,US
Honda,14.4,6.0,1364,261,3805,12.9,80,US
Jaguar,23.7,6.0,3561,131,2197,10.9,74,South Korea
Hyundai,24.5,6.0,3268,175,2474,10.9,72,Japan
Jaguar,12.8,4.0,2305,176,2186,16.1,70,India
BMW,16.9,6.0,4852,123,3958,15.7,70,India
Kia,10.0,4.0,4402,195,4461,10.4,77,South Korea
Tata,19.0,8.0,4870,78,3864,17.1,79,South Korea
Maruthi,19.1,6.0,2953,157,2683,17.5,80,Japan
Tata,13.7,4.0,4231,106,2340,10.6,71,Japan
Hyundai,18.4,4.0,3552,118,1970,10.9,72,US
Tata,13.4,4.0,3138,110,4256,12.6,71,India
Honda,12.4,4.0,1570,86,2539,17.4,72,India
Audi,19.8,4.0,3080,157,3201,16.6,76,South Korea
Maruthi,14.9,6.0,2052,90,4077,8.1,70,US
Toyota,18.9,6.0,1583,120,1918,11.3,79,India
Hyundai,16.5,4.0,3131,128,4312,13.1,77,US
Maruthi,24.8,4.0,3692,236,3951,12.5,79,US
Tata,12.2,4.0,1624,252,3795,9.1,79,South Korea
Honda,17.0,8.0,3408,110,3505,16.4,79,US
